sweep,label,psnr,ssim,mse,lpips_proxy,lpips
resolution,128x128,28.663914827039825,0.8599307130174666,0.0013602180406451225,0.0002247553929919377,0.36857008934020996
resolution,64x64,25.893799906017414,0.6572835405536056,0.0025740680284798145,0.0005066059529781342,0.5556842088699341
resolution,32x32,21.111689421995735,0.2264376940720008,0.007741606328636408,0.0014212796231731772,0.7913781404495239
resolution,16x16,15.541462298620168,0.022843622573652973,0.027916036546230316,0.0031576701439917088,0.9237023591995239
phase_bits,8-bit,81.93617460358968,0.9999990062932969,6.4029856972069865e-09,2.260102771600714e-09,1.3649494121636963e-06
phase_bits,4-bit,58.50833195197229,0.9996397976131439,1.409830247212085e-06,6.842938660156506e-07,0.00031296740053221583
phase_bits,2-bit,42.59417390236061,0.9167792898845673,5.5027860071277246e-05,2.4675526219652966e-05,0.05702690780162811
phase_bits,1-bit,0.04733034947448891,0.0028514900698382406,0.9891608953475952,0.00011823146633105353,0.8110387325286865
viewing_angle,75%,31.065779918423267,0.9775631541329622,0.000782387622166425,0.00010196844232268631,0.17075178027153015
viewing_angle,50%,28.94373410528742,0.9677924199213968,0.0012753417249768972,7.896434544818476e-05,0.1639779657125473
viewing_angle,25%,29.686006148664198,0.9719659935418389,0.0010749775683507323,8.248561789514497e-05,0.1077779158949852
viewing_angle,10%,29.163149044301427,0.7276956270910317,0.001212509348988533,6.702351674903184e-05,0.14828084409236908
depth_planes,3 planes,19.713011831650665,0.15912379568116275,0.010683136992156506,0.0038677698466926813,0.3584039807319641
depth_planes,2 planes,18.450696714478642,0.16243670827603957,0.0142866475507617,0.005291236098855734,0.22130125761032104
depth_planes,1 planes,18.1247963615842,0.012596009738065768,0.015399986878037453,0.006223286967724562,1.00417160987854
speckle,σ=0.10,60.132526803780166,0.9997493576030732,9.699455176814809e-07,4.197668772576435e-07,0.00024840416153892875
speckle,σ=0.30,49.713103264425406,0.993697855676651,1.068291203409899e-05,4.402742433740059e-06,0.005216325633227825
speckle,σ=0.60,42.65262397457212,0.9149903076934814,5.4292217100737616e-05,2.443498306092806e-05,0.053423989564180374
speckle,σ=1.00,34.91114505431142,0.5012255930140018,0.0003227642737329006,0.00014654391270596534,0.2575135827064514
speckle,σ=π,18.521495840022425,0.007548222844615637,0.014055633917450905,0.006516588851809502,0.9625468254089355
