sweep,parameter,scene,psnr,ssim,lpips,lpips_proxy
resolution,128x128,gaussian_spots,28.663914827039825,0.8599307130174666,0.36857008934020996,0.0002247553929919377
resolution,64x64,gaussian_spots,25.893799906017414,0.6572835405536056,0.5556842088699341,0.0005066059529781342
resolution,32x32,gaussian_spots,21.111689421995735,0.2264376940720008,0.7913781404495239,0.0014212796231731772
resolution,16x16,gaussian_spots,15.541462298620168,0.022843622573652973,0.9237023591995239,0.0031576701439917088
phase_bits,8-bit,gaussian_spots,82.95446947692129,0.9999990189189911,1.4694750234411913e-06,2.040772217881681e-09
phase_bits,4-bit,gaussian_spots,59.38135100967668,0.9996928194656373,0.0003367409808561206,5.787269969914632e-07
phase_bits,2-bit,gaussian_spots,45.01830710983204,0.9775933139400482,0.01564888469874859,1.0864838259294629e-05
phase_bits,1-bit,gaussian_spots,35.70702081129795,0.6550718340320587,0.1802932322025299,8.39451386127621e-05
viewing_angle,75%,gaussian_spots,31.065779918423267,0.9775631541329622,0.17075178027153015,0.00010196844232268631
viewing_angle,50%,gaussian_spots,28.94373410528742,0.9677924199213968,0.1639779657125473,7.896434544818476e-05
viewing_angle,25%,gaussian_spots,29.686006148664198,0.9719659935418389,0.1077779158949852,8.248561789514497e-05
viewing_angle,10%,gaussian_spots,29.163149044301427,0.7276956270910317,0.14828084409236908,6.702351674903184e-05
resolution,128x128,resolution_chart,11.074833350198436,0.12093007752956203,0.9319239854812622,0.010384312830865383
resolution,64x64,resolution_chart,10.826547330756016,0.04672506415283386,0.800612211227417,0.011239846237003803
resolution,32x32,resolution_chart,10.81200464596501,0.030651746479603337,0.697380542755127,0.011376040056347847
resolution,16x16,resolution_chart,10.790433303797617,0.06809110923833833,0.7172173261642456,0.011570464819669724
phase_bits,8-bit,resolution_chart,52.4300742510971,0.999792474682808,5.246756336418912e-05,2.283999947394477e-06
phase_bits,4-bit,resolution_chart,29.953408860379767,0.9469427433423996,0.01388034038245678,0.0005108396289870143
phase_bits,2-bit,resolution_chart,16.525197097140587,0.5038331561736241,0.30035796761512756,0.004910268355160952
phase_bits,1-bit,resolution_chart,12.340470258297561,0.16462431790988877,0.912108838558197,0.009655795991420746
viewing_angle,75%,resolution_chart,12.266355437253791,0.36657574950544564,0.639773428440094,0.008759967051446438
viewing_angle,50%,resolution_chart,11.480808945311889,0.33350366434839807,0.6643334627151489,0.009697903878986835
viewing_angle,25%,resolution_chart,11.353627200841638,0.28785529368995294,0.7168916463851929,0.010353775694966316
viewing_angle,10%,resolution_chart,11.603093477176804,0.1878743487464249,0.728855311870575,0.011102271266281605
resolution,128x128,letters,19.275665545327133,0.6526881007769674,0.4720027446746826,0.0023385086096823215
resolution,64x64,letters,17.95522345351576,0.28713057777952933,0.6827019453048706,0.0034908149391412735
resolution,32x32,letters,16.7157441457579,0.06806803200176112,0.7728964686393738,0.003942660987377167
resolution,16x16,letters,15.0825659324952,0.03686415696720528,0.8763930797576904,0.004360363353043795
phase_bits,8-bit,letters,71.57678683788416,0.9999923059015274,1.6032990970415995e-06,3.430250217206776e-08
phase_bits,4-bit,letters,46.046774090350425,0.9973682217311859,0.00048792603774927557,9.127666089625563e-06
phase_bits,2-bit,letters,32.31056979030216,0.8175004290857315,0.057374030351638794,0.00017470501188654453
phase_bits,1-bit,letters,24.264552275723577,0.24114437028330565,0.40044209361076355,0.0010890504345297813
viewing_angle,75%,letters,20.704153032464347,0.9209880320620388,0.18279419839382172,0.0014631659723818302
viewing_angle,50%,letters,19.91990455936538,0.909163500878335,0.1875331550836563,0.0017034062184393406
viewing_angle,25%,letters,19.592804391973544,0.8972717321243342,0.2253575325012207,0.0019222269766032696
viewing_angle,10%,letters,19.227395331736346,0.3571727494847301,0.5284978747367859,0.0020798214245587587
resolution,128x128,circle_ring,15.945497840313562,0.24941644454089215,0.6466938257217407,0.0038708560168743134
resolution,64x64,circle_ring,15.287561402108356,0.08898648487455534,0.7203524112701416,0.005313285160809755
resolution,32x32,circle_ring,14.530471954618122,0.056378270277585046,0.711313009262085,0.005316553637385368
resolution,16x16,circle_ring,13.725245548514241,0.059256882729414484,0.7844663858413696,0.0051174769178032875
phase_bits,8-bit,circle_ring,61.378951173098415,0.999924001001358,1.3631064575747587e-05,3.1536828259959293e-07
phase_bits,4-bit,circle_ring,38.4330972366804,0.9781491395902634,0.004744095727801323,7.086835103109479e-05
phase_bits,2-bit,circle_ring,24.289777380386425,0.6259077799185514,0.13523812592029572,0.0009765378199517727
phase_bits,1-bit,circle_ring,18.217118283006155,0.21315292499545077,0.5160377025604248,0.0032780601177364588
viewing_angle,75%,circle_ring,17.183386203551397,0.6657784288966824,0.301116943359375,0.0027597604785114527
viewing_angle,50%,circle_ring,16.68714608525766,0.6369443146492911,0.3296869695186615,0.0029822522774338722
viewing_angle,25%,circle_ring,16.651167988941364,0.598386365271117,0.38006827235221863,0.0030630002729594707
viewing_angle,10%,circle_ring,16.570109184984638,0.37223099185533937,0.5188522934913635,0.003300725482404232
resolution,128x128,natural_photo,10.179736154407582,0.059302187924372675,0.8778436779975891,0.005640136078000069
resolution,64x64,natural_photo,9.99774918395683,0.061999625540143655,0.7645712494850159,0.004028490744531155
resolution,32x32,natural_photo,10.127847358449621,0.04378761966706408,0.8116329908370972,0.004401378333568573
resolution,16x16,natural_photo,10.104089525931725,0.07502625793765579,0.8823239803314209,0.003386780619621277
phase_bits,8-bit,natural_photo,48.031951627359106,0.9984333622941971,0.00039216739241965115,4.600884949468309e-06
phase_bits,4-bit,natural_photo,26.55673658079221,0.7489727470219135,0.09415262937545776,0.001097366795875132
phase_bits,2-bit,natural_photo,13.613953655736278,0.25475792033329375,0.606599748134613,0.005074724555015564
phase_bits,1-bit,natural_photo,10.870302439341046,0.08882463437364173,0.8683481216430664,0.006044391542673111
viewing_angle,75%,natural_photo,10.626449027471903,0.23728080209216976,0.7180542349815369,0.004198485054075718
viewing_angle,50%,natural_photo,10.260261264341569,0.22655806233293568,0.753387451171875,0.003999059554189444
viewing_angle,25%,natural_photo,10.085733145901097,0.21832577160003563,0.7444544434547424,0.003171358723193407
viewing_angle,10%,natural_photo,10.630343345254595,0.16333631878993643,0.7751697301864624,0.0029957664664834738
